video_id,frame_id,person_id,x1,y1,x2,y2,detector_confidence,backpack,hat,upper_colour,upper_style,lower_colour,lower_style,attribute_confidence
run01,1380,5,1905.44189453125,2080.423583984375,1943.673828125,2155.354248046875,0.3516882061958313,1,0,2,0,1,0,0.9764
run01,1440,5,1907.907958984375,2080.02685546875,1939.947509765625,2154.904296875,0.2955436706542969,1,0,2,0,1,0,0.9764
run01,1560,5,1905.32861328125,2078.64111328125,1941.2119140625,2156.35888671875,0.21852467954158783,1,0,2,0,1,0,0.9764
run01,2580,5,1904.11669921875,2078.92333984375,1945.1982421875,2156.87451171875,0.28179818391799927,1,0,2,0,1,0,0.9764
run01,2640,5,1907.0302734375,2076.86572265625,1941.925048828125,2157.25537109375,0.2607019543647766,1,0,2,0,1,0,0.9764
run01,3360,5,1905.4765625,2078.3896484375,1943.185791015625,2155.4013671875,0.2549469470977783,1,0,2,0,1,0,0.9764
run01,3420,5,1904.9774169921875,2078.94580078125,1945.2777099609375,2156.78564453125,0.33579161763191223,1,0,2,0,1,0,0.9764
run01,3480,5,1903.758056640625,2077.0166015625,1945.729736328125,2157.8525390625,0.3050619959831238,1,0,2,0,1,0,0.9764
run01,5580,5,1906.3670654296875,2076.8056640625,1940.7427978515625,2156.80517578125,0.25424936413764954,1,0,2,0,1,0,0.9764
run01,5880,5,1904.8155517578125,2079.05712890625,1942.2921142578125,2158.39794921875,0.2810957431793213,1,0,2,0,1,0,0.9764
run01,6240,5,1905.568603515625,2073.84326171875,1943.775146484375,2155.13720703125,0.2451789677143097,1,0,2,0,1,0,0.9764
run01,1260,6,1188.7314453125,1643.3367919921875,1230.087890625,1723.1275634765625,0.4212281107902527,0,0,3,1,2,0,0.9896
run01,1320,6,1188.973876953125,1642.4998779296875,1231.548828125,1721.2078857421875,0.4728604555130005,0,0,3,1,2,0,0.9896
run01,1380,6,1188.884033203125,1644.2060546875,1230.772216796875,1722.087890625,0.40960079431533813,0,0,3,1,2,0,0.9896
run01,1500,6,1188.06396484375,1642.6717529296875,1230.831298828125,1722.6038818359375,0.44722074270248413,0,0,3,1,2,0,0.9896
run01,1620,6,1190.5250244140625,1646.2257080078125,1230.9232177734375,1723.3245849609375,0.2587920129299164,0,0,3,1,2,0,0.9896
run01,1680,6,1187.829833984375,1643.932861328125,1230.060546875,1724.173095703125,0.4544827938079834,0,0,3,1,2,0,0.9896
run01,1740,6,1187.668212890625,1642.6387939453125,1230.867919921875,1722.1055908203125,0.5461787581443787,0,0,3,1,2,0,0.9896
run01,1800,6,1188.6290283203125,1641.907958984375,1232.3250732421875,1720.489501953125,0.3925717771053314,0,0,3,1,2,0,0.9896
