person_id,gender,mean_stride_length_m,max_stride_length_m,mean_step_length_m,mean_cadence_steps_per_min,mean_step_frequency_hz,mean_stride_frequency_hz,total_estimated_steps,total_estimated_strides,mean_walking_speed_mps,max_walking_speed_mps,group_size,group_crossing_category,co_walkers,crossing_origin_side,crossing_destination_side,crossing_transition,crossing_behavior_type,crosswalk_facility_used,net_displacement_m,total_path_m,duration_sec
69,Female,0.148,0.191,0.074,28.0,0.47,0.23,22,11,0.036,0.052,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.65,1.29,58.1
70,Male,0.136,0.244,0.068,19.7,0.33,0.16,7,3,0.027,0.074,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,Upper-Left Zebra Crossing,0.22,0.45,18.0
72,Male,0.101,0.124,0.05,8.0,0.13,0.07,19,10,0.007,0.028,1,Single Pedestrian Crossing,None,North Kerb Side,North Kerb Side,North Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.11,0.97,226.2
75,Male,0.15,0.312,0.075,20.4,0.34,0.17,17,8,0.033,0.105,2,Couple Crossing,77,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.08,1.02,168.2
77,Male,0.104,0.116,0.052,13.6,0.23,0.11,14,7,0.012,0.026,2,Couple Crossing,75,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.38,0.7,70.1
78,Male,0.112,0.17,0.056,10.8,0.18,0.09,5,3,0.012,0.044,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,Central Crossing Corridor,0.09,0.27,72.1
79,Male,0.1,0.1,0.05,14.3,0.24,0.12,7,4,0.012,0.012,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.35,0.35,32.0
81,Female,0.114,0.136,0.057,15.8,0.26,0.13,2,1,0.017,0.032,1,Single Pedestrian Crossing,None,South Kerb Side,South Kerb Side,South Kerb Side Curbside Phase,Curbside Stationary / Waiting,None (Shoulder / Non-Crosswalk),0.1,0.13,38.0
82,Male,0.115,0.158,0.057,18.0,0.3,0.15,6,3,0.019,0.04,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.23,0.28,10.0
83,Female,0.129,0.172,0.064,19.9,0.33,0.17,2,1,0.024,0.045,1,Single Pedestrian Crossing,None,Median Side,Median Side,Median Side Island Phase,Median Waiting / Bus Stop,None (Shoulder / Non-Crosswalk),0.09,0.15,8.0
