person_id,frame_id,timestamp_sec,spatial_zone,pos_x_m,pos_y_m,speed_mps,step_length_m,stride_length_m,cadence_steps_per_min,step_frequency_hz,stride_frequency_hz,group_category,in_crossing_corridor,in_zebra
6,6120,204.2,South Kerb Side,18.193,25.854,0.024,0.056,0.112,26.1,0.44,0.22,Group Crossing (>2 people),0,0
6,6180,206.21,South Kerb Side,18.175,25.853,0.009,0.05,0.1,10.9,0.18,0.09,Group Crossing (>2 people),0,0
6,6240,208.21,South Kerb Side,18.16,25.827,0.015,0.05,0.1,17.8,0.3,0.15,Group Crossing (>2 people),0,0
6,6300,210.21,South Kerb Side,18.119,25.826,0.021,0.05,0.1,24.6,0.41,0.21,Group Crossing (>2 people),0,0
6,6360,212.21,South Kerb Side,18.14,25.815,0.012,0.05,0.1,14.0,0.23,0.12,Group Crossing (>2 people),0,0
6,6420,214.21,South Kerb Side,18.116,25.821,0.013,0.05,0.1,15.1,0.25,0.13,Group Crossing (>2 people),0,0
6,6480,216.22,South Kerb Side,18.13,25.808,0.009,0.05,0.1,10.9,0.18,0.09,Group Crossing (>2 people),0,0
6,6540,218.22,South Kerb Side,18.114,25.843,0.019,0.05,0.1,22.9,0.38,0.19,Group Crossing (>2 people),0,0
6,6600,220.22,South Kerb Side,18.109,25.875,0.016,0.05,0.1,19.2,0.32,0.16,Group Crossing (>2 people),0,0
6,6660,222.22,South Kerb Side,18.109,25.886,0.005,0.05,0.1,6.5,0.11,0.05,Group Crossing (>2 people),0,0
6,6720,224.22,South Kerb Side,18.116,25.87,0.008,0.05,0.1,10.0,0.17,0.08,Group Crossing (>2 people),0,0
6,6780,226.23,South Kerb Side,18.123,25.824,0.023,0.055,0.109,25.8,0.43,0.21,Group Crossing (>2 people),0,0
6,6840,228.23,South Kerb Side,18.132,25.835,0.007,0.05,0.1,8.6,0.14,0.07,Group Crossing (>2 people),0,0
6,6900,230.23,South Kerb Side,18.104,25.887,0.03,0.064,0.128,27.6,0.46,0.23,Group Crossing (>2 people),0,0
6,6960,232.23,South Kerb Side,18.112,25.875,0.007,0.05,0.1,8.5,0.14,0.07,Group Crossing (>2 people),0,0
6,7020,234.23,South Kerb Side,18.133,25.857,0.014,0.05,0.1,16.6,0.28,0.14,Group Crossing (>2 people),0,0
6,7080,236.24,South Kerb Side,18.114,25.872,0.012,0.05,0.1,14.2,0.24,0.12,Group Crossing (>2 people),0,0
6,7140,238.24,South Kerb Side,18.131,25.84,0.018,0.05,0.1,21.9,0.37,0.18,Group Crossing (>2 people),0,0
6,7200,240.24,South Kerb Side,18.115,25.864,0.014,0.05,0.1,17.3,0.29,0.14,Group Crossing (>2 people),0,0
6,7260,242.24,South Kerb Side,18.126,25.893,0.016,0.05,0.1,18.8,0.31,0.16,Group Crossing (>2 people),0,0
6,7380,246.25,South Kerb Side,18.09,25.873,0.01,0.05,0.1,12.5,0.21,0.1,Group Crossing (>2 people),0,0
6,7680,256.26,South Kerb Side,18.142,25.868,0.005,0.05,0.1,6.2,0.1,0.05,Group Crossing (>2 people),0,0
6,7740,258.26,South Kerb Side,18.141,25.845,0.012,0.05,0.1,14.1,0.24,0.12,Group Crossing (>2 people),0,0
6,7800,260.26,South Kerb Side,18.144,25.849,0.003,0.05,0.1,3.4,0.06,0.03,Group Crossing (>2 people),0,0
6,7860,262.26,South Kerb Side,18.142,25.87,0.01,0.05,0.1,12.5,0.21,0.1,Group Crossing (>2 people),0,0
6,8040,268.27,South Kerb Side,18.15,25.883,0.003,0.05,0.1,3.1,0.05,0.03,Group Crossing (>2 people),0,0
6,8160,272.27,South Kerb Side,18.161,25.886,0.003,0.05,0.1,3.5,0.06,0.03,Group Crossing (>2 people),0,0
6,8340,278.28,South Kerb Side,18.148,25.912,0.005,0.05,0.1,5.9,0.1,0.05,Group Crossing (>2 people),0,0
6,8400,280.28,South Kerb Side,18.143,25.906,0.004,0.05,0.1,4.4,0.07,0.04,Group Crossing (>2 people),0,0
6,8460,282.28,South Kerb Side,18.158,25.934,0.016,0.05,0.1,18.9,0.31,0.16,Group Crossing (>2 people),0,0
6,8520,284.28,South Kerb Side,18.144,25.944,0.009,0.05,0.1,10.5,0.17,0.09,Group Crossing (>2 people),0,0
6,8760,292.29,South Kerb Side,18.147,25.904,0.005,0.05,0.1,6.0,0.1,0.05,Group Crossing (>2 people),0,0
6,8820,294.29,South Kerb Side,18.148,25.879,0.013,0.05,0.1,15.4,0.26,0.13,Group Crossing (>2 people),0,0
6,8880,296.3,South Kerb Side,18.132,25.876,0.008,0.05,0.1,9.6,0.16,0.08,Group Crossing (>2 people),0,0
6,8940,298.3,South Kerb Side,18.152,25.877,0.01,0.05,0.1,12.0,0.2,0.1,Group Crossing (>2 people),0,0
6,9060,302.3,South Kerb Side,18.151,25.88,0.001,0.05,0.1,1.2,0.02,0.01,Group Crossing (>2 people),0,0
6,9120,304.3,South Kerb Side,18.172,25.902,0.015,0.05,0.1,18.3,0.3,0.15,Group Crossing (>2 people),0,0
6,9180,306.31,South Kerb Side,18.146,25.882,0.016,0.05,0.1,19.5,0.32,0.16,Group Crossing (>2 people),0,0
6,9240,308.31,South Kerb Side,18.15,25.878,0.002,0.05,0.1,2.9,0.05,0.02,Group Crossing (>2 people),0,0
6,9420,314.31,South Kerb Side,18.141,25.828,0.009,0.05,0.1,10.2,0.17,0.09,Group Crossing (>2 people),0,0
6,9480,316.32,South Kerb Side,18.126,25.873,0.024,0.055,0.11,25.9,0.43,0.22,Group Crossing (>2 people),0,0
6,9540,318.32,South Kerb Side,18.141,25.872,0.007,0.05,0.1,9.0,0.15,0.07,Group Crossing (>2 people),0,0
6,9600,320.32,South Kerb Side,18.141,25.871,0.001,0.05,0.1,1.2,0.02,0.01,Group Crossing (>2 people),0,0
6,9660,322.32,South Kerb Side,18.154,25.831,0.021,0.051,0.101,25.0,0.42,0.21,Group Crossing (>2 people),0,0
6,9720,324.32,South Kerb Side,18.134,25.828,0.01,0.05,0.1,12.0,0.2,0.1,Group Crossing (>2 people),0,0
6,9780,326.33,South Kerb Side,18.149,25.822,0.008,0.05,0.1,9.8,0.16,0.08,Group Crossing (>2 people),0,0
6,9840,328.33,South Kerb Side,18.155,25.801,0.011,0.05,0.1,12.8,0.21,0.11,Group Crossing (>2 people),0,0
6,9900,330.33,South Kerb Side,18.181,25.815,0.015,0.05,0.1,18.1,0.3,0.15,Group Crossing (>2 people),0,0
6,9960,332.33,South Kerb Side,18.193,25.794,0.012,0.05,0.1,14.7,0.25,0.12,Group Crossing (>2 people),0,0
6,10020,334.33,South Kerb Side,18.166,25.797,0.014,0.05,0.1,16.5,0.28,0.14,Group Crossing (>2 people),0,0
6,10080,336.34,South Kerb Side,18.16,25.797,0.003,0.05,0.1,3.6,0.06,0.03,Group Crossing (>2 people),0,0
6,10140,338.34,South Kerb Side,18.158,25.776,0.011,0.05,0.1,13.0,0.22,0.11,Group Crossing (>2 people),0,0
6,10200,340.34,South Kerb Side,18.123,25.817,0.027,0.06,0.121,26.9,0.45,0.22,Group Crossing (>2 people),0,0
6,10260,342.34,South Kerb Side,18.133,25.793,0.013,0.05,0.1,15.8,0.26,0.13,Group Crossing (>2 people),0,0
6,10320,344.34,South Kerb Side,18.152,25.737,0.029,0.064,0.127,27.6,0.46,0.23,Group Crossing (>2 people),0,0
6,10380,346.35,South Kerb Side,18.128,25.747,0.013,0.05,0.1,15.4,0.26,0.13,Group Crossing (>2 people),0,0
6,10440,348.35,South Kerb Side,18.161,25.751,0.016,0.05,0.1,19.7,0.33,0.16,Group Crossing (>2 people),0,0
6,10500,350.35,South Kerb Side,18.143,25.735,0.012,0.05,0.1,14.6,0.24,0.12,Group Crossing (>2 people),0,0
6,10560,352.35,South Kerb Side,18.17,25.749,0.015,0.05,0.1,18.1,0.3,0.15,Group Crossing (>2 people),0,0
6,10680,356.36,South Kerb Side,18.128,25.796,0.016,0.05,0.1,18.8,0.31,0.16,Group Crossing (>2 people),0,0
6,10740,358.36,South Kerb Side,18.128,25.808,0.006,0.05,0.1,6.9,0.11,0.06,Group Crossing (>2 people),0,0
6,10800,360.36,South Kerb Side,18.163,25.79,0.02,0.05,0.1,23.5,0.39,0.2,Group Crossing (>2 people),0,0
6,10860,362.36,South Kerb Side,18.16,25.807,0.009,0.05,0.1,10.3,0.17,0.09,Group Crossing (>2 people),0,0
6,10980,366.37,South Kerb Side,18.141,25.81,0.005,0.05,0.1,5.9,0.1,0.05,Group Crossing (>2 people),0,0
6,11040,368.37,South Kerb Side,18.16,25.813,0.01,0.05,0.1,11.9,0.2,0.1,Group Crossing (>2 people),0,0
6,11100,370.37,South Kerb Side,18.175,25.805,0.009,0.05,0.1,10.5,0.17,0.09,Group Crossing (>2 people),0,0
6,11160,372.37,South Kerb Side,18.154,25.785,0.015,0.05,0.1,17.6,0.29,0.15,Group Crossing (>2 people),0,0
6,11220,374.37,South Kerb Side,18.198,25.781,0.022,0.052,0.104,25.3,0.42,0.21,Group Crossing (>2 people),0,0
6,11280,376.38,South Kerb Side,18.19,25.751,0.016,0.05,0.1,18.7,0.31,0.16,Group Crossing (>2 people),0,0
6,11340,378.38,South Kerb Side,18.179,25.738,0.009,0.05,0.1,10.4,0.17,0.09,Group Crossing (>2 people),0,0
6,11400,380.38,South Kerb Side,18.129,25.769,0.03,0.064,0.128,27.7,0.46,0.23,Group Crossing (>2 people),0,0
6,11460,382.38,South Kerb Side,18.173,25.745,0.025,0.057,0.114,26.3,0.44,0.22,Group Crossing (>2 people),0,0
6,11520,384.38,South Kerb Side,18.152,25.76,0.013,0.05,0.1,15.3,0.25,0.13,Group Crossing (>2 people),0,0
6,11580,386.39,South Kerb Side,18.13,25.784,0.016,0.05,0.1,19.5,0.33,0.16,Group Crossing (>2 people),0,0
6,11640,388.39,South Kerb Side,18.128,25.795,0.006,0.05,0.1,7.1,0.12,0.06,Group Crossing (>2 people),0,0
6,11700,390.39,South Kerb Side,18.13,25.811,0.008,0.05,0.1,9.2,0.15,0.08,Group Crossing (>2 people),0,0
6,11760,392.39,South Kerb Side,18.155,25.819,0.013,0.05,0.1,15.9,0.26,0.13,Group Crossing (>2 people),0,0
6,11820,394.39,South Kerb Side,18.142,25.878,0.031,0.066,0.131,27.9,0.47,0.23,Group Crossing (>2 people),0,0
6,11880,396.4,South Kerb Side,18.122,25.838,0.022,0.053,0.106,25.4,0.42,0.21,Group Crossing (>2 people),0,0
6,11940,398.4,South Kerb Side,18.138,25.821,0.012,0.05,0.1,13.9,0.23,0.12,Group Crossing (>2 people),0,0
6,12000,400.4,South Kerb Side,18.139,25.817,0.002,0.05,0.1,2.3,0.04,0.02,Group Crossing (>2 people),0,0
6,12060,402.4,South Kerb Side,18.139,25.818,0.001,0.05,0.1,1.2,0.02,0.01,Group Crossing (>2 people),0,0
6,12120,404.4,South Kerb Side,18.138,25.825,0.004,0.05,0.1,4.5,0.07,0.04,Group Crossing (>2 people),0,0
6,12180,406.41,South Kerb Side,18.107,25.819,0.016,0.05,0.1,18.9,0.31,0.16,Group Crossing (>2 people),0,0
6,12240,408.41,South Kerb Side,18.136,25.842,0.019,0.05,0.1,22.6,0.38,0.19,Group Crossing (>2 people),0,0
6,12300,410.41,South Kerb Side,18.136,25.823,0.01,0.05,0.1,11.6,0.19,0.1,Group Crossing (>2 people),0,0
6,12360,412.41,South Kerb Side,18.086,25.802,0.027,0.06,0.121,26.9,0.45,0.22,Group Crossing (>2 people),0,0
6,12480,416.42,South Kerb Side,18.094,25.781,0.006,0.05,0.1,6.9,0.12,0.06,Group Crossing (>2 people),0,0
6,12540,418.42,South Kerb Side,18.081,25.817,0.019,0.05,0.1,22.9,0.38,0.19,Group Crossing (>2 people),0,0
6,12600,420.42,South Kerb Side,18.079,25.834,0.009,0.05,0.1,10.5,0.18,0.09,Group Crossing (>2 people),0,0
6,13020,434.43,South Kerb Side,18.095,25.764,0.005,0.05,0.1,6.2,0.1,0.05,Group Crossing (>2 people),0,0
6,13080,436.44,South Kerb Side,18.096,25.764,0.0,0.05,0.1,1.2,0.02,0.01,Group Crossing (>2 people),0,0
6,13140,438.44,South Kerb Side,18.086,25.756,0.006,0.05,0.1,7.7,0.13,0.06,Group Crossing (>2 people),0,0
6,13200,440.44,South Kerb Side,18.108,25.77,0.013,0.05,0.1,16.0,0.27,0.13,Group Crossing (>2 people),0,0
6,13320,444.44,South Kerb Side,18.116,25.77,0.002,0.05,0.1,2.4,0.04,0.02,Group Crossing (>2 people),0,0
6,13380,446.45,South Kerb Side,18.094,25.803,0.02,0.05,0.1,23.6,0.39,0.2,Group Crossing (>2 people),0,0
6,13440,448.45,South Kerb Side,18.114,25.794,0.011,0.05,0.1,13.4,0.22,0.11,Group Crossing (>2 people),0,0
6,13500,450.45,South Kerb Side,18.118,25.79,0.002,0.05,0.1,2.9,0.05,0.02,Group Crossing (>2 people),0,0
6,13560,452.45,South Kerb Side,18.105,25.792,0.006,0.05,0.1,7.7,0.13,0.06,Group Crossing (>2 people),0,0
6,13620,454.45,South Kerb Side,18.098,25.843,0.026,0.058,0.117,26.5,0.44,0.22,Group Crossing (>2 people),0,0
6,13680,456.46,South Kerb Side,18.101,25.822,0.011,0.05,0.1,12.7,0.21,0.11,Group Crossing (>2 people),0,0
6,13740,458.46,South Kerb Side,18.086,25.8,0.014,0.05,0.1,16.2,0.27,0.14,Group Crossing (>2 people),0,0
6,13800,460.46,South Kerb Side,18.085,25.787,0.007,0.05,0.1,7.9,0.13,0.07,Group Crossing (>2 people),0,0
6,14040,468.47,South Kerb Side,18.096,25.786,0.001,0.05,0.1,1.6,0.03,0.01,Group Crossing (>2 people),0,0
6,14100,470.47,South Kerb Side,18.104,25.828,0.021,0.051,0.102,25.0,0.42,0.21,Group Crossing (>2 people),0,0
6,14160,472.47,South Kerb Side,18.077,25.803,0.019,0.05,0.1,22.5,0.38,0.19,Group Crossing (>2 people),0,0
6,14220,474.47,South Kerb Side,18.091,25.794,0.008,0.05,0.1,9.9,0.16,0.08,Group Crossing (>2 people),0,0
6,14340,478.48,South Kerb Side,18.082,25.822,0.007,0.05,0.1,8.8,0.15,0.07,Group Crossing (>2 people),0,0
6,14400,480.48,South Kerb Side,18.093,25.815,0.007,0.05,0.1,8.1,0.13,0.07,Group Crossing (>2 people),0,0
6,14520,484.48,South Kerb Side,18.109,25.829,0.005,0.05,0.1,6.3,0.11,0.05,Group Crossing (>2 people),0,0
6,14580,486.49,South Kerb Side,18.088,25.833,0.011,0.05,0.1,12.9,0.22,0.11,Group Crossing (>2 people),0,0
6,14760,492.49,South Kerb Side,18.087,25.809,0.004,0.05,0.1,4.9,0.08,0.04,Group Crossing (>2 people),0,0
6,14820,494.49,South Kerb Side,18.087,25.809,0.0,0.05,0.1,1.2,0.02,0.01,Group Crossing (>2 people),0,0
6,15180,506.51,South Kerb Side,18.082,25.84,0.003,0.05,0.1,3.1,0.05,0.03,Group Crossing (>2 people),0,0
6,16620,554.55,South Kerb Side,18.088,25.788,0.001,0.05,0.1,1.3,0.02,0.01,Group Crossing (>2 people),0,0
6,17160,572.57,South Kerb Side,18.081,25.738,0.003,0.05,0.1,3.4,0.06,0.03,Group Crossing (>2 people),0,0
6,17280,576.58,South Kerb Side,18.08,25.731,0.002,0.05,0.1,2.1,0.03,0.02,Group Crossing (>2 people),0,0
6,17400,580.58,South Kerb Side,18.059,25.743,0.006,0.05,0.1,7.5,0.12,0.06,Group Crossing (>2 people),0,0
6,17460,582.58,South Kerb Side,18.064,25.737,0.004,0.05,0.1,4.7,0.08,0.04,Group Crossing (>2 people),0,0
6,17640,588.59,South Kerb Side,18.093,25.69,0.009,0.05,0.1,11.0,0.18,0.09,Group Crossing (>2 people),0,0
6,17700,590.59,South Kerb Side,18.054,25.719,0.024,0.056,0.112,26.1,0.43,0.22,Group Crossing (>2 people),0,0
6,17760,592.59,South Kerb Side,18.06,25.723,0.004,0.05,0.1,4.2,0.07,0.04,Group Crossing (>2 people),0,0
6,17880,596.6,South Kerb Side,18.067,25.722,0.002,0.05,0.1,2.2,0.04,0.02,Group Crossing (>2 people),0,0
6,18000,600.6,South Kerb Side,18.053,25.772,0.013,0.05,0.1,15.5,0.26,0.13,Group Crossing (>2 people),0,0
6,18060,602.6,South Kerb Side,18.069,25.775,0.008,0.05,0.1,10.2,0.17,0.08,Group Crossing (>2 people),0,0
